Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.577123 0.123451 0.0142019
0.577935 0.109967 0.0137794
0.578746 0.125134 0.0146577
0.579558 0.110174 0.0144164
0.580369 0.118308 0.0140784
0.581181 0.135646 0.0144654
0.581992 0.108408 0.0145163
0.582804 0.093684 0.0143863
0.583615 0.122787 0.0142203
0.584427 0.0969259 0.014643
0.585238 0.108501 0.0143029
0.58605 0.113008 0.0145558
0.586861 0.105214 0.0147182
0.587673 0.0813885 0.0146694
0.588484 0.0932144 0.0142472
0.589296 0.111116 0.0144685
0.590107 0.115679 0.0143499
0.590919 0.104597 0.0141291
0.59173 0.122911 0.0144342
0.592542 0.0932385 0.0146467
0.593353 0.0970428 0.0142172
0.594165 0.117788 0.014069
0.594976 0.11541 0.0144373
0.595787 0.129686 0.0144427
0.596599 0.0857624 0.014797
0.59741 0.125274 0.0141018
0.598222 0.129783 0.014536
0.599033 0.116354 0.0148967
0.599845 0.115548 0.0147606
0.600656 0.126755 0.0140941
0.601468 0.128494 0.0148215
0.602279 0.108315 0.0145972
0.603091 0.133983 0.0148309
0.603902 0.0802843 0.0146377
0.604714 0.128485 0.0144078
0.605525 0.117122 0.0145862
0.606337 0.114175 0.0142643
0.607148 0.0910248 0.0145711
0.60796 0.0915521 0.0149767
0.608771 0.119624 0.0149407
0.609583 0.127063 0.0146454
0.610394 0.0939027 0.0145295
0.611206 0.0978158 0.0147862
0.612017 0.135264 0.0145348
0.612829 0.128653 0.014651
0.61364 0.1241 0.014337
0.614452 0.103701 0.0148447
==============================================
Sample description:                     prot1
Sample code:                            Apr1
Sample concentration:                   4.5
Beam center X [px]:                     754.149
Beam center Y [px]:                     199.623
Exposure time [s]:                      3600
Sample temperature [deg C]:             19.99
