P25502	copy_number:7.36E+02
P23561	copy_number:7.36E+02
P18634	copy_number:7.36E+02
Q03824	copy_number:7.36E+02
P54005	copy_number:7.36E+02
Q12204	copy_number:7.36E+02
P47988	copy_number:7.36E+02
Q12224	copy_number:7.36E+02
Q12082	copy_number:7.52E+02
Q12151	copy_number:7.52E+02
Q04082	copy_number:7.52E+02
P40960	copy_number:7.52E+02
P38990	copy_number:7.52E+02
P32641	copy_number:7.52E+02
P42939	copy_number:7.52E+02
P53051	copy_number:7.52E+02
P38744	copy_number:7.52E+02
P38774	copy_number:7.52E+02
P38784	copy_number:7.52E+02
P47183	copy_number:7.52E+02
P35718	copy_number:7.52E+02
P53739	copy_number:7.52E+02
P38967	copy_number:7.52E+02
